battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
"5000 mah battery with fast charging, charges upto 75% in 30 minutes",5000,dual sim: nano + nano with volte support,17.22,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,mediatek helio g99 octa core processor,infinix,infinix note 30,0,17990,0.0,https://pricebaba.com/mobile/infinix-note-30,in stock,8.0,64.0,120
"6000 mah battery with fast charging, charges upto 100% in 35 minutes",6000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,nubia,nubia redmagic 8s pro,0,45390,0.0,https://pricebaba.com/mobile/nubia-redmagic-8s-pro,in stock,8.0,50.0,120
"6000 mah battery with flash charging, charges upto 70% in 34 minutes",6000,dual sim: nano + nano with volte support,16.87,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v13,qualcomm snapdragon 695 octa core processor,iqoo,iqoo z7x,0,15690,0.0,https://pricebaba.com/mobile/iqoo-z7x,in stock,6.0,50.0,120
5000 mah battery with flash charging,5000,dual sim: nano + nano with volte support,16.87,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,mediatek dimensity 6020 mt6833 octa core processor,vivo,vivo y36 5g,0,20999,0.0,https://pricebaba.com/mobile/vivo-y36-5g,in stock,8.0,50.0,90
7000 mah battery with fast charging,7000,dual sim: nano + nano with volte support,17.09,Yes,rear fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,128.0,,android v14,samsung exynos 2100 octa core processor,samsung,samsung galaxy m16,0,16990,0.0,https://pricebaba.com/mobile/samsung-galaxy-m16,in stock,8.0,64.0,120
4500 mah battery with flash charging,4500,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,,android v13,mediatek dimensity 7200 octa core processor,vivo,vivo s17e,0,24790,0.0,https://pricebaba.com/mobile/vivo-s17e,in stock,8.0,64.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.87,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,8.0,128.0,,android v13,mediatek dimensity 6020 mt6833 octa core processor,vivo,vivo y27 5g,0,22390,0.0,https://pricebaba.com/mobile/vivo-y27-5g,in stock,6.0,50.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 4 gen 1 octa core processor,xiaomi,xiaomi redmi note 12r pro,0,23690,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-12r-pro,in stock,12.0,48.0,120
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v12,mediatek dimensity 920 mt6877t octa core processor,realme,realme realme 12,0,21990,0.0,https://pricebaba.com/mobile/realme-12,in stock,8.0,64.0,60
4400 mah battery with flash charging,4400,dual sim: nano + nano,17.12,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,vivo,vivo x flip,0,71690,0.0,https://pricebaba.com/mobile/vivo-x-flip,in stock,12.0,50.0,120
