battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.58,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,12.0,64.0,,android v13,mediatek helio g88 octa core processor,infinix,infinix note 14i,0,13990,0.0,https://pricebaba.com/mobile/infinix-note-14i,in stock,6.0,50.0,60
5180 mah battery with fast charging,5180,dual sim: nano + nano with volte support,15.24,Yes,side fingerprint sensor |3.5 mm headphone jack present,8.0,64.0,,android v12,mediatek helio g25 octa core processor,doogee,doogee s51,0,13290,0.0,https://pricebaba.com/mobile/doogee-s51,in stock,4.0,12.0,60
4700 mah battery with fast charging,4700,dual sim: nano + nano with volte support,17.15,Yes,no fingerprint sensor |face unlock|no 3.5 mm headphone jack present,12.0,128.0,,ios v16,apple a16 bionic hexa core processor,apple,apple iphone 16 plus,0,87990,0.0,https://pricebaba.com/mobile/apple-iphone-16-plus,in stock,6.0,12.0,60
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,16.56,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,xiaomi,xiaomi 15,0,57990,0.0,https://pricebaba.com/mobile/xiaomi-15,in stock,12.0,64.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano (hybrid) with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,13.0,64.0,,android v13,qualcomm snapdragon 695 octa core processor,motorola,motorola g55,0,27999,0.0,https://pricebaba.com/mobile/motorola-g55,in stock,4.0,50.0,60
5080 mah battery with fast charging,5080,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v12,mediatek helio g35 mt6765 octa core processor,blackview,blackview a53 pro,0,11490,0.0,https://pricebaba.com/mobile/blackview-a53-pro,in stock,4.0,12.0,60
5000 mah battery with fast charging,5000,dual sim: mini + nano with volte support,18.08,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,oppo,oppo find n4,0,98990,0.0,https://pricebaba.com/mobile/oppo-find-n4,in stock,16.0,64.0,60
5000 mah battery,5000,dual sim: nano + nano with volte support,16.76,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,32.0,,android v13,mediatek helio g25 octa core processor,tcl,tcl 406,0,8999,0.0,https://pricebaba.com/mobile/tcl-406,in stock,3.0,13.0,60
5000 mah battery,5000,dual sim: nano + nano with volte support,16.76,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v12,mediatek helio a25 octa core processor,tcl,tcl 408,0,10490,0.0,https://pricebaba.com/mobile/tcl-408,in stock,4.0,50.0,60
5010 mah battery with fast charging,5010,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v13,mediatek helio g37 octa core processor,tcl,tcl 40 se,0,13990,0.0,https://pricebaba.com/mobile/tcl-40-se,in stock,4.0,50.0,90
5000 mah battery,5000,dual sim: nano + nano with volte support,16.56,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,32.0,,android v12,unisoc sc9863a octa core processor,htc,htc wildfire e3 lite,0,8990,0.0,https://pricebaba.com/mobile/htc-wildfire-e3-lite,in stock,3.0,13.0,60
"4500 mah battery with fast charging, charges upto 100% in 31 minutes",4500,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,60.0,256.0,,harmonyos,qualcomm snapdragon 778g octa core processor,huawei,huawei nova 11,0,29690,0.0,https://pricebaba.com/mobile/huawei-nova-11,in stock,8.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v14,mediatek helio g70 octa core processor,infinix,infinix hot 40i,0,11999,0.0,https://pricebaba.com/mobile/infinix-hot-40i,in stock,8.0,64.0,120
4600 mah battery with fast charging,4600,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 778g octa core processor,nokia,nokia xr30,0,45990,0.0,https://pricebaba.com/mobile/nokia-xr30,in stock,6.0,64.0,60
4000 mah battery with fast charging,4000,single sim: nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek dimensity 8050 octa core processor,tecno,tecno phantom v yoga,0,89990,0.0,https://pricebaba.com/mobile/tecno-phantom-v-yoga,in stock,8.0,64.0,60
4570 mah battery with fast charging,4570,dual sim: nano + nano with volte support,16.23,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,sharp,sharp aquos r8,0,34990,0.0,https://pricebaba.com/mobile/sharp-aquos-r8,in stock,8.0,50.3,240
5000 mah battery with flash charging,5000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v14,qualcomm snapdragon 8 gen 1 octa core processor,iqoo,iqoo neo 9 pro,0,43990,0.0,https://pricebaba.com/mobile/iqoo-neo-9-pro,in stock,12.0,108.0,144
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.27,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v14,qualcomm snapdragon 680 octa core processor,huawei,huawei enjoy 60 pro,0,17999,0.0,https://pricebaba.com/mobile/huawei-enjoy-60-pro,in stock,6.0,50.0,90
4000 mah battery with fast charging,4000,single sim: nano with volte support,17.02,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,10.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,sony,sony xperia compact flip,0,114990,0.0,https://pricebaba.com/mobile/sony-xperia-compact-flip,in stock,8.0,12.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,xiaomi,xiaomi redmi k70 ultra,0,49990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-k70-ultra,in stock,8.0,200.0,144
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.3,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,meizu,meizu 21,0,49990,0.0,https://pricebaba.com/mobile/meizu-21,in stock,12.0,50.0,120
4200 mah battery with rapid charging,4200,dual sim: nano + nano with volte support,17.53,No,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,motorola,motorola razr 50 ultra,0,89990,0.0,https://pricebaba.com/mobile/motorola-razr-50-ultra,in stock,12.0,50.0,165
9600 mah battery with fast charging,9600,dual sim + nano (hybrid) with volte support,16.71,Yes,side fingerprint sensor which unlocks in 0.1 seconds|face unlock|3.5 mm headphone jack present,16.0,256.0,,android v13,mediatek helio g99 octa core processor,ulefone,ulefone armor 21,0,32990,0.0,https://pricebaba.com/mobile/ulefone-armor-21,in stock,8.0,64.0,120
4400 mah battery with fast charging,4400,dual sim: nano + nano (hybrid) with volte support,16.56,Yes,side fingerprint sensor which unlocks in 0.1 seconds|face unlock|3.5 mm headphone jack present,8.0,128.0,,android v13,unisoc t606 octa core processor,ulefone,ulefone note 16 pro,0,11540,0.0,https://pricebaba.com/mobile/ulefone-note-16-pro,in stock,4.0,50.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,128.0,,android v12,unisoc t606 octa core processor,zte,zte blade a72s,0,14990,0.0,https://pricebaba.com/mobile/zte-blade-a72s,in stock,3.0,50.0,90
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v12,qualcomm snapdragon 480 plus octa core processor,honor,honor 70 lite,0,20290,0.0,https://pricebaba.com/mobile/honor-70-lite,in stock,4.0,50.0,90
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,12.0,128.0,,android v13,mediatek dimensity 1000 plus mt6889z octa core processor,infinix,infinix hot 40,0,17990,0.0,https://pricebaba.com/mobile/infinix-hot-40,in stock,8.0,50.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,13.0,64.0,,android v13,mediatek helio g88 octa core processor,samsung,samsung galaxy m06,0,11999,0.0,https://pricebaba.com/mobile/samsung-galaxy-m06,in stock,4.0,13.0,60
5500 mah battery with fast charging,5500,dual sim: mini + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,xiaomi,xiaomi 15 pro,0,68990,0.0,https://pricebaba.com/mobile/xiaomi-15-pro,in stock,12.0,108.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,xiaomi,xiaomi 14t pro,0,46999,0.0,https://pricebaba.com/mobile/xiaomi-14t-pro,in stock,8.0,108.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v13,mediatek helio g80 octa core processor,samsung,samsung galaxy m05,0,10990,0.0,https://pricebaba.com/mobile/samsung-galaxy-m05,in stock,4.0,13.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,xiaomi,xiaomi redmi k80,0,32990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-k80,in stock,12.0,108.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,16.81,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,12.0,256.0,,android v12,mediatek dimensity 720 mt6853v octa core processor,vivo,vivo y74t,0,16990,0.0,https://pricebaba.com/mobile/vivo-y74t,in stock,8.0,50.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.09,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,oppo,oppo reno11 pro,0,47990,0.0,https://pricebaba.com/mobile/oppo-reno11-pro,in stock,16.0,200.0,120
4700 mah battery with fast charging,4700,dual sim: nano + esim with volte support,16.0,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,13.0,128.0,,android v14,google tensor octa core processor,google,google pixel 9a,0,49990,0.0,https://pricebaba.com/mobile/google-pixel-9a,in stock,8.0,108.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,motorola,motorola x50,0,49990,0.0,https://pricebaba.com/mobile/motorola-x50,in stock,12.0,50.0,165
4000 mah battery with fast charging,4000,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek dimensity 8050 mt6893 octa core processor,tecno,tecno phantom v flip,0,89990,0.0,https://pricebaba.com/mobile/tecno-phantom-v-flip,in stock,8.0,50.0,144
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |3.5 mm headphone jack present,13.0,128.0,,android v13,unisoc t700 octa core processor,nubia,nubia neo,0,15990,0.0,https://pricebaba.com/mobile/nubia-neo,in stock,8.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,18.54,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,nubia,nubia z60 fold,0,48990,0.0,https://pricebaba.com/mobile/nubia-z60-fold,in stock,12.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.76,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,12.6,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,sharp,sharp aquos r8 pro,0,45990,0.0,https://pricebaba.com/mobile/sharp-aquos-r8-pro,in stock,12.0,47.2,240
4800 mah battery with fast charging,4800,dual sim: nano + nano with volte support,16.66,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 778g octa core processor,nokia,nokia x40 5g,0,50999,0.0,https://pricebaba.com/mobile/nokia-x40-5g,in stock,12.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.66,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v13,mediatek dimensity 700 mt6833 octa core processor,tcl,tcl 40 x,0,16690,0.0,https://pricebaba.com/mobile/tcl-40-x,in stock,4.0,50.0,90
5000 mah battery with fast charging,5000,dual sim: nano + nano (hybrid) with volte support,16.76,Yes,rear fingerprint sensor |face unlock|no 3.5 mm headphone jack present,8.0,128.0,,android v12,mediatek dimensity 930 mt6855 octa core processor,motorola,motorola defy 2,0,49590,0.0,https://pricebaba.com/mobile/motorola-defy-2,in stock,6.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.71,Yes,rear fingerprint sensor |no 3.5 mm headphone jack present,8.0,128.0,,android v12,mediatek dimensity 930 mt6855 octa core processor,cat,cat s75,0,52480,0.0,https://pricebaba.com/mobile/cat-s75,in stock,6.0,50.0,120
7000 mah battery with fast charging,7000,dual sim + nano with volte support,17.65,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,12.0,128.0,,android v13,mediatek helio g99 octa core processor,tecno,tecno pova 6,0,19990,0.0,https://pricebaba.com/mobile/tecno-pova-6,in stock,6.0,64.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.74,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,60.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,motorola,motorola x50 pro,0,39990,0.0,https://pricebaba.com/mobile/motorola-x50-pro,in stock,8.0,200.0,60
4500 mah battery with fast charging,4500,dual sim: nano + nano with volte support,16.76,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v12,unisoc t616 octa core processor,zte,zte axon 40 lite,0,20990,0.0,https://pricebaba.com/mobile/zte-axon-40-lite,in stock,4.0,50.0,60
4500 mah battery with flash charging,4500,dual sim: nano + nano with volte support,16.71,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v14,qualcomm snapdragon 7 gen 1 octa core processor,motorola,motorola edge 50 lite,0,29990,0.0,https://pricebaba.com/mobile/motorola-edge-50-lite,in stock,8.0,50.0,120
4500 mah battery with fast charging,4500,dual sim: nano + esim with volte support,19.38,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,10.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,sony,sony xperia compact fold,0,154990,0.0,https://pricebaba.com/mobile/sony-xperia-compact-fold,in stock,12.0,50.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,20.83,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,vivo,vivo x fold 3,0,114990,0.0,https://pricebaba.com/mobile/vivo-x-fold-3,in stock,12.0,108.0,144
5200 mah battery with fast charging,5200,dual sim: nano + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,mediatek dimensity 9000 plus mt6893 octa core processor,tecno,tecno phantom x3,0,41990,0.0,https://pricebaba.com/mobile/tecno-phantom-x3,in stock,12.0,64.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,50.0,64.0,,android v13,qualcomm snapdragon 680 octa core processor,samsung,samsung galaxy f46,0,12990,0.0,https://pricebaba.com/mobile/samsung-galaxy-f46,in stock,6.0,64.0,60
2800 mah battery,2800,dual sim: mini + micro,12.7,No,3.5 mm headphone jack present,3.2,8.0,,android v5.1 (lollipop),quad core processor,ringing bells,ringing bells smart 101,0,2999,0.0,https://pricebaba.com/mobile/ringing-bells-smart-101,in stock,1.0,8.0,60
4700 mah battery with super charging,4700,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,,android v14,mediatek dimensity 7200 octa core processor,honor,honor 70 se 5g,0,29990,0.0,https://pricebaba.com/mobile/honor-70-se-5g,in stock,8.0,50.0,60
3000 mah battery,3000,dual sim: nano + nano with volte support,15.24,No,no fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,32.0,,android v12,mediatek helio a22 quad core processor,tcl,tcl 403,0,7390,0.0,https://pricebaba.com/mobile/tcl-403,in stock,2.0,8.0,60
5200 mah battery,5200,dual sim: nano + nano with volte support,16.66,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,128.0,,android v13,qualcomm snapdragon 480 plus octa core processor,honor,honor play 40,0,16390,0.0,https://pricebaba.com/mobile/honor-play-40,in stock,6.0,13.0,90
4000 mah battery with fast charging,4000,single sim: nano with volte support,17.02,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,10.0,128.0,,android v13,google tensor octa core processor,google,google pixel flip,0,99990,0.0,https://pricebaba.com/mobile/google-pixel-flip,in stock,8.0,48.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,iqoo,iqoo neo 7t,0,29999,0.0,https://pricebaba.com/mobile/iqoo-neo-7t,in stock,8.0,50.0,120
4600 mah battery with fast charging,4600,dual sim: nano + nano with volte support,17.02,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,128.0,,android v13,qualcomm snapdragon 7 gen 1 octa core processor,htc,htc u23,0,39990,0.0,https://pricebaba.com/mobile/htc-u23,in stock,8.0,64.0,120
"5100 mah battery with fast charging, charges upto 50% in 15 minutes",5100,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,256.0,,android v11,mediatek dimensity 810 mt6833 octa core processor,zte,zte v70 2023,0,19990,0.0,https://pricebaba.com/mobile/zte-v70-2023,in stock,8.0,64.0,90
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.71,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v13,mediatek helio g88 octa core processor,oppo,oppo a58 4g,0,12999,0.0,https://pricebaba.com/mobile/oppo-a58-4g,in stock,4.0,50.0,90
5000 mah battery with fast charging,5000,dual sim: nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,0.0,256.0,,android v13,qualcomm snapdragon 765g octa core processor,oneplus,oneplus nord 5 ce 5g,0,29990,0.0,https://pricebaba.com/mobile/oneplus-nord-5-ce-5g,in stock,8.0,108.0,60
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,nubia,nubia z50s pro,0,42290,0.0,https://pricebaba.com/mobile/nubia-z50s-pro,in stock,12.0,50.0,120
4000 mah battery with fast charging,4000,dual sim: nano + nano (hybrid) with volte support,15.77,Yes,no fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,32.0,,android v12,mediatek mt6580 quad core processor,ulefone,ulefone note 15,0,7490,0.0,https://pricebaba.com/mobile/ulefone-note-15,in stock,2.0,8.0,60
5000 mah battery with super charging,5000,dual sim: nano + nano with volte support,20.12,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,honor,honor magic v2,0,102999,0.0,https://pricebaba.com/mobile/honor-magic-v2,in stock,16.0,50.0,120
4020 mah battery,4020,dual sim: nano + nano with volte support,16.51,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,64.0,,android v12,mediatek helio g37 octa core processor,motorola,motorola e22,0,11190,0.0,https://pricebaba.com/mobile/motorola-e22,in stock,4.0,16.0,90
5000 mah battery with super vooc charging,5000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v13,qualcomm snapdragon 8 gen 1 octa core processor,oppo,oppo reno9 t,0,35999,0.0,https://pricebaba.com/mobile/oppo-reno9-t,in stock,8.0,108.0,120
4000 mah battery with fast charging,4000,dual sim: nano + nano with volte support,15.88,Yes,rear fingerprint sensor |3.5 mm headphone jack present,12.0,64.0,,android v12,mediatek helio p23 mt6763t octa core processor,oppo,oppo a80,0,24990,0.0,https://pricebaba.com/mobile/oppo-a80,in stock,4.0,24.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,iqoo,iqoo 13 5g,0,64990,0.0,https://pricebaba.com/mobile/iqoo-13-5g,in stock,12.0,108.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,16.89,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,24.0,256.0,,android v13,mediatek dimensity 1000 mt6889 octa core processor,motorola,motorola g74,0,29990,0.0,https://pricebaba.com/mobile/motorola-g74,in stock,12.0,64.0,60
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.58,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,mediatek dimensity 9200 octa core processor,tecno,tecno phantom x4 pro,0,54990,0.0,https://pricebaba.com/mobile/tecno-phantom-x4-pro,in stock,16.0,108.0,60
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,16.89,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,24.0,512.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,google,google pixel 9 pro,0,67990,0.0,https://pricebaba.com/mobile/google-pixel-9-pro,in stock,12.0,108.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v2.0,mediatek dimensity 9000 plus mt6983 octa core processor,vivo,vivo x110 pro plus,0,59990,0.0,https://pricebaba.com/mobile/vivo-x110-pro-plus,in stock,12.0,64.0,60
6000 mah battery,6000,dual sim: nano + nano with volte support,16.94,No,no fingerprint sensor |face unlock|3.5 mm headphone jack present,12.0,64.0,,android v12,unisoc t612 octa core processor,motorola,motorola e15,0,8999,0.0,https://pricebaba.com/mobile/motorola-e15,in stock,4.0,16.0,60
5100 mah battery,5100,dual sim: nano + nano with volte support,16.69,No,no fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,32.0,,android v12,unisoc t610 octa core processor,motorola,motorola e14,0,7999,0.0,https://pricebaba.com/mobile/motorola-e14,in stock,3.0,16.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.3,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,oppo,oppo reno11 pro plus,0,59990,0.0,https://pricebaba.com/mobile/oppo-reno11-pro-plus,in stock,12.0,64.0,60
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,17.65,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,vivo,vivo x110 pro,0,56990,0.0,https://pricebaba.com/mobile/vivo-x110-pro,in stock,16.0,108.0,60
5000 mah battery,5000,dual sim: nano + nano with volte support,16.76,No,rear fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,64.0,,android v12,unisoc sc9863a1 octa core processor,tecno,tecno pop 7,0,8999,0.0,https://pricebaba.com/mobile/tecno-pop-7,in stock,2.0,8.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,6.0,256.0,,android v13,mediatek dimensity 9200 mt6985 octa core processor,vivo,vivo x90 plus,0,44990,0.0,https://pricebaba.com/mobile/vivo-x90-plus,in stock,12.0,64.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.71,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,samsung,samsung galaxy s24 fe,0,59999,0.0,https://pricebaba.com/mobile/samsung-galaxy-s24-fe,in stock,8.0,108.0,60
4000 mah battery,4000,single sim: nano with volte support,16.56,No,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,32.0,20,android v12,qualcomm snapdragon 662 octa core processor,nokia,nokia c300,0,11490,0.0,https://pricebaba.com/mobile/nokia-c300,in stock,3.0,13.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v14,qualcomm snapdragon 8 gen 2 octa core processor,black shark,black shark 7 pro,0,65990,0.0,https://pricebaba.com/mobile/black-shark-7-pro,in stock,16.0,200.0,165
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,60.0,256.0,,android v14,mediatek dimensity 8200 mt6896z octa core processor,xiaomi,xiaomi redmi note 15 pro plus,0,35990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-15-pro-plus,in stock,8.0,200.0,165
1000 mah battery,1000,single sim: mini,4.57,No,3.5 mm headphone jack present,0.0,0.0,,,,nokia,nokia 106 2023,0,1999,0.0,https://pricebaba.com/mobile/nokia-106-2023,in stock,0.0,0.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 480 plus octa core processor,nokia,nokia g310 5g,0,16999,0.0,https://pricebaba.com/mobile/nokia-g310-5g,in stock,8.0,50.0,90
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.15,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,nothing,nothing phone 4,0,44990,0.0,https://pricebaba.com/mobile/nothing-phone-4,in stock,8.0,108.0,60
